aapl	320193
msft	789019
googl	1652044
amzn	1018724
tsla	1318605
brk-b	1067983
nvda	1045810
fb	1326801
tsm	1046179
unh	731766
jnj	200406
jpm	19617
spy	884394
wmt	104169
pg	80424
lvmuy	824046
bac	70858
hd	354950
ma	1141391
xom	34088
cvx	93410
pfe	78003
abbv	1551152
baba	1577552
lly	59478
asml	937966
ko	21344
dis	1744489
nvo	353278
avgo	1730168
cost	909832
tm	1094517
csco	858877
tmo	97745
pep	77476
vz	732712
orcl	1341439
abt	1800
cmcsa	1166691
adbe	796343
crm	1108524
wfc	72971
nke	320187
cnttq	1652499
acn	1467373
dhr	313616
mrk	310158
azn	901832
nvs	1114448
ups	1090727
intc	50863
asti	1350102
mcd	63908
bhp	811809
qcom	804328
schw	316709
unp	100885
ms	895421
t	732717
txn	97476
nflx	1065280
nee	753308
tmus	1283699
ry	1000275
lin	1707925
low	60667
bmy	14272
mdt	1613103
ptr	1108329
td	947263
rtx	101829
pm	1413329
axp	4962
cvs	64803
sap	1000184
qqq	1067839
hsbc	1089113
amd	2488
intu	896878
tte	879764
amgn	318154
sny	1121404
hon	773840
pypl	1633917
sony	313838
cop	1163165
rtntf	887028
de	315189
rio	863064
cat	18230
lmt	936468
amat	6951
ul	217410
antm	1156039
pld	1045609
ibm	51143
gs	886982
hdb	1144967
deo	835403
c	831001
now	1373715
blk	1364742
eqnr	1140625
ba	12927
amt	1053507
gsk	1131399
ge	40545
bud	1668717
infy	1067491
chtr	1091667
jd	1549802
isrg	1035267
tgt	27419
syk	310764
abnb	1559720
el	1001250
lfc	1268896
spgi	64040
bp	313807
mo	764180
bti	1303523
eadsy	1378580
zts	1555280
cb	896159
vale	917851
enb	895728
mu	723125
cni	16868
adp	8670
bns	9631
bkng	1075531
cme	1156375
bam	1001085
mdlz	1103982
mufg	67088
bx	1393818
mmm	66740
pbr	1119639
usb	36104
adi	6281
hca	860730
glncy	1524684
shop	1594805
duk	1326160
pnc	713676
mmc	62709
csx	277948
ci	1739940
tfc	92230
bmo	927971
cci	1051470
dmlry	1067318
ice	1571949
bdx	10795
gild	882095
tjx	109198
cp	16875
lrcx	707549
regn	872589
idexy	1438656
snp	1123658
so	92122
cnq	1017413
fcx	831259
team	1650372
abb	1091587
cta-pa	30554
ew	1099800
sftby	1065521
aon	315293
eog	821189
pbcry	1463157
mrna	1682852
atlky	748954
noc	1133421
d	715957
nsc	702165
itw	49826
f	37996
ibn	1103838
fisv	798354
wm	823768
shw	89800
eqix	1101239
amx	1129137
enlay	1096200
gd	40533
psa	1393311
pgr	80661
snow	1640147
uber	1543151
se	1703399
vrtx	875320
gm	1467858
cl	21665
ubs	1610520
bsx	885725
etn	1551182
atvi	718877
fdx	1048911
mco	1059556
san	891478
sq	1512673
pxd	1038357
wday	1327811
mrvl	1835632
nem	1164727
cof	927628
ntes	1110646
relx	929869
meli	1099590
fis	1136893
cm	1045520
met	1099219
emr	32604
hum	49071
scco	1001838
ntr	1725964
mar	1048286
panw	1327567
chgcy	1453934
slb	87347
rbgly	1420798
snap	1564408
ngg	1004315
prndy	899108
oxy	797468
kdp	1418135
trp	1232384
klac	319201
epd	1061219
ilmn	1110803
race	1648416
tri	1075124
e	1002242
bidu	1329099
stla	1605484
dg	29534
cnc	1071739
bsbr	1471055
apd	2969
aig	5272
